scenario,decision_metric,observed_bps,threshold_bps,qod_requested,decision_reason,qos_profile,pdr_count_during,qer_count_during,dedicated_qer_count,frames_received,duration_s,video_bitrate_bps,received_size_bytes,decode_errors,expected_sha256,received_sha256,video_integrity,baseline_restored,sender_packets,sender_bytes,sender_duration_s,sender_rate_mbps,accepted
best-effort,application_bitrate_bps,4234662,4000000,False,scenario_forbids_qod,QOS_M,2,1,0,300,10.0,4234662,5293328,0,d53bb812ddb7078c8e60a03a25def6171591b4d0858f24a0e3d24626ff3bced6,d53bb812ddb7078c8e60a03a25def6171591b4d0858f24a0e3d24626ff3bced6,True,True,4433,5833076,9.333023,4.999945,True
fixed-rules,application_bitrate_bps,4234662,4000000,True,bitrate_above_threshold,QOS_M,4,2,1,300,10.0,4234662,5293328,0,d53bb812ddb7078c8e60a03a25def6171591b4d0858f24a0e3d24626ff3bced6,d53bb812ddb7078c8e60a03a25def6171591b4d0858f24a0e3d24626ff3bced6,True,True,4433,5833076,9.333007,4.999955,True
